Country Name,Supply Plan Bucket Description,L5 - Product,Review Status - Inventory,Review Status - Supply Plan,DataMeasure,Period,Value
Malawi,MOH Supply Plan,"Norethisterone Enantate/Estradiol Valerate 50/5 mg/mL (1 mL) Ampoule, Intramuscular",In Review,Ready to Use Approved,S2 - Projected Inventory,2027-05,0.0
Malawi,MOH Supply Plan,"Norethisterone Enantate/Estradiol Valerate 50/5 mg/mL (1 mL) Ampoule, Intramuscular",In Review,Ready to Use Approved,S2 - Projected Inventory,2027-06,0.0
Malawi,MOH Supply Plan,"Norethisterone Enantate/Estradiol Valerate 50/5 mg/mL (1 mL) Ampoule, Intramuscular",In Review,Ready to Use Approved,S2 - Projected Inventory,2027-07,0.0
Malawi,MOH Supply Plan,"Norethisterone Enantate/Estradiol Valerate 50/5 mg/mL (1 mL) Ampoule, Intramuscular",In Review,Ready to Use Approved,S2 - Projected Inventory,2027-08,0.0
Malawi,MOH Supply Plan,"Norethisterone Enantate/Estradiol Valerate 50/5 mg/mL (1 mL) Ampoule, Intramuscular",In Review,Ready to Use Approved,S2 - Projected Inventory,2027-09,0.0
Malawi,MOH Supply Plan,"Norethisterone Enantate/Estradiol Valerate 50/5 mg/mL (1 mL) Ampoule, Intramuscular",In Review,Ready to Use Approved,S2 - Projected Inventory,2027-10,0.0
Malawi,MOH Supply Plan,"Norethisterone Enantate/Estradiol Valerate 50/5 mg/mL (1 mL) Ampoule, Intramuscular",In Review,Ready to Use Approved,S2 - Projected Inventory,2027-11,0.0
Malawi,MOH Supply Plan,"Norethisterone Enantate/Estradiol Valerate 50/5 mg/mL (1 mL) Ampoule, Intramuscular",In Review,Ready to Use Approved,S2 - Projected Inventory,2027-12,0.0
Malawi,MOH Supply Plan,"Norethisterone Enantate/Estradiol Valerate 50/5 mg/mL (1 mL) Ampoule, Intramuscular",In Review,Ready to Use Approved,S2 - Projected Inventory,2028-01,0.0
Malawi,MOH Supply Plan,"Norethisterone Enantate/Estradiol Valerate 50/5 mg/mL (1 mL) Ampoule, Intramuscular",In Review,Ready to Use Approved,S2 - Projected Inventory,2028-02,0.0
Malawi,MOH Supply Plan,"Norethisterone Enantate/Estradiol Valerate 50/5 mg/mL (1 mL) Ampoule, Intramuscular",In Review,Ready to Use Approved,S2 - Projected Inventory,2028-03,0.0
Malawi,MOH Supply Plan,"Norethisterone Enantate/Estradiol Valerate 50/5 mg/mL (1 mL) Ampoule, Intramuscular",In Review,Ready to Use Approved,S2 - Projected Inventory,2028-04,0.0
Malawi,MOH Supply Plan,"Norethisterone Enantate/Estradiol Valerate 50/5 mg/mL (1 mL) Ampoule, Intramuscular",In Review,Ready to Use Approved,S2 - Projected Inventory,2028-05,0.0
Malawi,MOH Supply Plan,"Norethisterone Enantate/Estradiol Valerate 50/5 mg/mL (1 mL) Ampoule, Intramuscular",In Review,Ready to Use Approved,S2 - Projected Inventory,2028-06,0.0
Malawi,MOH Supply Plan,"Norethisterone Enantate/Estradiol Valerate 50/5 mg/mL (1 mL) Ampoule, Intramuscular",In Review,Ready to Use Approved,S2 - Projected Inventory,2028-07,0.0
Malawi,MOH Supply Plan,"Norethisterone Enantate/Estradiol Valerate 50/5 mg/mL (1 mL) Ampoule, Intramuscular",In Review,Ready to Use Approved,S2 - Projected Inventory,2028-08,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2026-02,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2026-03,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2026-04,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2026-05,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2026-06,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2026-07,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2026-08,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2026-09,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2026-10,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2026-11,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2026-12,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2027-01,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2027-02,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2027-03,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2027-04,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2027-05,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2027-06,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2027-07,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2027-08,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2027-09,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2027-10,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2027-11,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2027-12,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2028-01,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2028-02,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2028-03,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2028-04,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2028-05,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2028-06,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2028-07,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2028-08,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2026-02,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2026-03,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2026-04,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2026-05,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2026-06,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2026-07,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2026-08,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2026-09,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2026-10,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2026-11,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2026-12,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2027-01,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2027-02,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2027-03,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2027-04,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2027-05,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2027-06,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2027-07,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2027-08,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2027-09,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2027-10,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2027-11,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2027-12,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2028-01,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2028-02,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2028-03,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2028-04,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2028-05,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2028-06,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2028-07,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS below min MOS Alert,2028-08,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2026-02,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2026-03,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2026-04,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2026-05,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2026-06,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2026-07,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2026-08,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2026-09,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2026-10,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2026-11,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2026-12,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2027-01,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2027-02,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2027-03,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2027-04,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2027-05,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2027-06,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2027-07,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2027-08,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2027-09,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2027-10,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2027-11,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2027-12,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2028-01,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2028-02,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2028-03,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2028-04,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2028-05,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2028-06,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2028-07,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected MOS above max MOS Alert,2028-08,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2026-02,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2026-03,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2026-04,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2026-05,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2026-06,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2026-07,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2026-08,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2026-09,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2026-10,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2026-11,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2026-12,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2027-01,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2027-02,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2027-03,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2027-04,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2027-05,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2027-06,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2027-07,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2027-08,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2027-09,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2027-10,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2027-11,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2027-12,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2028-01,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2028-02,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2028-03,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2028-04,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2028-05,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2028-06,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2028-07,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S1 - Projected Inventory,2028-08,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S2 - Projected Inventory,2026-02,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S2 - Projected Inventory,2026-03,0.0
Malawi,No Supply Plan Available,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,S2 - Projected Inventory,2026-04,0.0
